CpG	Feature	P.Value	adj.P.Val	B	Distance	NearestGeneSymbol
cg08772028	GB_NC	4.83E-06	0.005735	3.776379	1661	AMICA1
cg22644321	GB_SHE	4.90E-06	0.005801	3.763734	979	TRIB1
cg04039397	PP_NC	4.96E-06	0.005834	3.753767	141	CD96
cg12547807	IG_NC	4.94E-06	0.005834	3.756236	57984	SPSB1
cg17983064	PP_NC	5.03E-06	0.005908	3.740202	9	IL3
cg00039326	PP_SHO	5.12E-06	0.005992	3.725318	729	TRAPPC3
cg04770751	PP_CGI	5.15E-06	0.006003	3.719939	323	STXBP2
cg19827923	PP_NC	5.16E-06	0.006003	3.718806	835	GPR55
cg24497361	GB_SHE	5.29E-06	0.006147	3.695369	3718	RHOG
cg03211864	GB_NC	5.36E-06	0.00621	3.683948	30011	BTBD16
cg14579240	GB_NC	5.41E-06	0.006247	3.676343	5369	NRARP
cg02632362	PP_SHO	5.61E-06	0.006462	3.643937	99	EDARADD
cg00008629	GB_SHO	5.67E-06	0.006513	3.634698	1643	PTBP3
cg14193007	GB_SHO	5.71E-06	0.006542	3.628317	28359	TBC1D16
cg09906145	PP_SHO	5.73E-06	0.006548	3.625116	291	FAM65A
cg14316231	GB_NC	5.85E-06	0.00666	3.607712	14403	KAT6A
cg07483523	GB_SHO	5.89E-06	0.006668	3.601874	2356	DNAJB1
cg10919522	PP_SHO	5.87E-06	0.006668	3.603979	439	ELMSAN1
cg10368935	PP_NC	6.11E-06	0.0069	3.569381	450	SLC39A12
cg18804920	GB_NC	6.42E-06	0.007233	3.525385	71268	MIR548AQ
cg10071824	PP_CGI	6.54E-06	0.007345	3.509415	19	GSX1
cg10951873	GB_SHO	6.62E-06	0.007415	3.498789	2022	RUNX3
cg06568880	GB_NC	6.70E-06	0.007495	3.486927	2908	SMG6
cg16839921	PP_SHO	6.74E-06	0.0075	3.481688	282	KCNE3
cg17066531	PP_NC	6.74E-06	0.0075	3.482417	205	PI16
cg10805254	GB_NC	6.78E-06	0.00752	3.476519	61935	RYBP
cg18992688	PP_SHO	6.80E-06	0.00752	3.474708	1040	AVPR1B
cg00207731	GB_SHO	6.82E-06	0.007521	3.472279	4232	FURIN
cg14734668	IG_NC	6.87E-06	0.007556	3.465849	23793	MIR4675
cg10580269	DS_NC	6.91E-06	0.007575	3.460866	42132	BMP10
cg17232357	GB_NC	6.92E-06	0.007575	3.458974	11901	SMAD6
cg06057404	PP_SHO	7.03E-06	0.007673	3.445421	247	ZNF843
cg17928286	DS_NC	7.08E-06	0.00771	3.438907	3304	MIR135B
cg08035323	IG_NC	7.12E-06	0.007734	3.433839	72418	YWHAQ
cg11014740	DP_SHO	7.15E-06	0.007742	3.430602	3051	HS6ST1
cg08763102	GB_SHE	7.27E-06	0.007859	3.415141	3342	HTT
cg03963011	GB_SHO	7.39E-06	0.007936	3.401489	26345	ETS1
cg13985437	PP_SHO	7.40E-06	0.007936	3.39976	0	LRRC32
cg15251319	GB_NC	7.38E-06	0.007936	3.402669	6620	XXYLT1
cg06976312	PP_SHO	7.45E-06	0.007972	3.39351	592	FAM78B
cg06821009	DS_SHE	7.51E-06	0.00799	3.387102	12042	PLD4
cg08571738	IG_NC	7.50E-06	0.00799	3.387948	270352	MYT1L
cg01432620	GB_SHO	7.64E-06	0.008108	3.371893	2156	ZIC2
cg24931658	PP_CGI	7.86E-06	0.008318	3.347139	850	DMTN
cg14659346	GB_CGI	7.91E-06	0.008354	3.341095	3082	ALPP
cg18825427	IG_NC	7.99E-06	0.008417	3.332304	10128	INSIG1
cg11621113	PP_SHO	8.05E-06	0.008464	3.325151	864	MAN2B1
cg12034869	GB_NC	8.43E-06	0.008835	3.285115	157677	SLCO3A1
cg17465631	PP_NC	8.56E-06	0.008954	3.271217	203	BCO1
cg03976645	GB_NC	8.74E-06	0.009119	3.252841	24141	BZW2
cg24874254	PP_NC	8.81E-06	0.009166	3.246136	9	PRDM1
cg04313565	GB_NC	8.92E-06	0.009263	3.234717	2871	XYLT1
cg02417427	GB_NC	9.03E-06	0.00935	3.224316	72685	SERINC5
cg02597894	GB_SHE	9.08E-06	0.009377	3.219572	2914	VARS
cg09578155	GB_NC	9.20E-06	0.00947	3.208299	61361	LRP5
cg14956201	GB_NC	9.21E-06	0.00947	3.206568	65031	TRIO
cg00862597	DP_SHE	9.24E-06	0.009477	3.203749	2271	TMEM30B
cg04437762	GB_SHO	9.53E-06	0.009746	3.177024	2509	IL6R
cg06972908	GB_SHE	9.69E-06	0.009888	3.162079	4337	ITGAL
cg24807169	PP_NC	9.75E-06	0.00992	3.157089	703	EMCN
cg05329352	GB_CGI	9.77E-06	0.009924	3.154668	2192	ADRA2A
cg20543544	GB_CGI	9.93E-06	0.010058	3.140699	231	ZMIZ1
cg16689942	IG_SHO	1.00E-05	0.010123	3.132859	101809	SLC46A3
cg22556056	GB_NC	1.00E-05	0.010124	3.130687	4499	SNORD91B
cg08462127	GB_NC	1.01E-05	0.010142	3.127012	24206	MYOM2
cg18696027	PP_SHO	1.02E-05	0.010188	3.120936	915	PATL2
cg00202479	GB_SHE	1.02E-05	0.010227	3.113929	3327	VARS
cg01882991	IG_NC	1.02E-05	0.010227	3.113402	27907	LY86
cg03732020	GB_NC	1.03E-05	0.010279	3.106827	3437	NR1H3
cg09083279	GB_NC	1.04E-05	0.010345	3.09702	804	MAS1L
cg22998476	IG_SHO	1.04E-05	0.010345	3.098061	24414	DDIT4
cg23233742	IG_SHO	1.05E-05	0.010346	3.094873	49375	CXXC5
cg06180099	PP_SHO	1.05E-05	0.010369	3.089045	90	FAM63A
cg18431951	GB_NC	1.05E-05	0.010369	3.088825	1054	PUF60
cg02121447	PP_SHO	1.10E-05	0.010791	3.051589	1355	SNX21
cg26844633	DP_NC	1.11E-05	0.010856	3.044253	2735	C15orf52
cg00308665	GB_NC	1.18E-05	0.011494	2.991875	1555	HTR2A
cg00324097	PP_SHO	1.22E-05	0.01189	2.960028	62	SEPT9
cg10409253	GB_NC	1.23E-05	0.011963	2.952572	27381	RNF216-IT1
cg23970275	GB_NC	1.23E-05	0.011965	2.950461	9190	KLF7
cg23896514	GB_SHO	1.26E-05	0.012175	2.933108	1061	LOC728743
cg17943663	GB_SHO	1.29E-05	0.012436	2.912392	4975	CDK3
cg16581455	IG_NC	1.29E-05	0.01248	2.907264	50631	TMEM67
cg01162421	IG_NC	1.30E-05	0.012522	2.902301	29607	GATB
cg05391998	GB_NC	1.31E-05	0.012574	2.896617	55460	SPATS2L
cg03907612	PP_CGI	1.32E-05	0.012646	2.889605	48	TFEB
cg14741228	PP_SHO	1.33E-05	0.012705	2.883483	615	FAM60A
cg19427338	IG_NC	1.35E-05	0.012899	2.868176	22531	COX7A2L
cg25727671	GB_SHO	1.37E-05	0.013059	2.855317	2943	HOXA7
cg17678847	IG_NC	1.38E-05	0.013106	2.85019	55953	SORBS2
cg13081213	GB_NC	1.43E-05	0.013519	2.820887	36642	C7orf71
cg07381806	GB_SHO	1.44E-05	0.013602	2.811564	1940	MOB3A
cg07512814	GB_SHO	1.44E-05	0.013602	2.812287	2385	LDLR
cg00639010	GB_SHE	1.45E-05	0.01362	2.808411	588	PDGFA
cg26263675	GB_SHO	1.47E-05	0.013789	2.795638	1558	SLC9A3R1
cg13691961	GB_SHO	1.47E-05	0.013811	2.792241	3013	DUSP6
cg14656441	GB_NC	1.51E-05	0.014075	2.773663	8102	NDUFS5
cg09631059	GB_SHO	1.52E-05	0.01418	2.765159	12495	TSPAN4
cg16461335	PP_NC	1.53E-05	0.01424	2.759525	256	LINC00989
cg25004427	GB_SHE	1.58E-05	0.014655	2.732313	3820	AHRR
cg23186333	GB_SHO	1.60E-05	0.014801	2.72166	1482	CD44
cg25157472	GB_NC	1.62E-05	0.014949	2.710932	12596	IQSEC1
cg06373240	GB_SHE	1.64E-05	0.015018	2.701138	6199	PLEKHF1
cg12685560	GB_SHO	1.63E-05	0.015018	2.701546	2112	MNT
cg27467282	IG_NC	1.63E-05	0.015018	2.70261	10539	MIR4703
cg20220678	GB_NC	1.65E-05	0.015146	2.691763	71721	SH2D4A
cg03234777	PP_NC	1.66E-05	0.015157	2.689198	263	AMICA1
cg13204673	IG_NC	1.67E-05	0.015209	2.684305	23828	AGR3
cg01952185	IG_NC	1.71E-05	0.015492	2.664291	25123	TIFAB
cg13525276	GB_NC	1.70E-05	0.015492	2.665957	183	CEP128
cg01594949	PP_SHO	1.74E-05	0.015687	2.644676	1186	NRARP
cg04119529	GB_SHE	1.75E-05	0.015687	2.642508	3198	NTHL1
cg06663317	PP_SHO	1.75E-05	0.015687	2.641995	1375	MT1A
cg18625627	GB_NC	1.74E-05	0.015687	2.645468	186	CEP128
cg21733098	IG_NC	1.75E-05	0.015687	2.642585	434941	FLJ37505
cg27286011	GB_SHO	1.74E-05	0.015687	2.649264	6014	INF2
cg02276274	PP_SHO	1.79E-05	0.016043	2.620389	1198	LRRN1
cg00237876	PP_NC	1.80E-05	0.016115	2.614568	471	CD300LG
cg03468072	IG_CGI	1.81E-05	0.016146	2.611061	167204	KIF21A
cg03509898	GB_SHE	1.82E-05	0.016222	2.605027	7016	ZFYVE21
cg06451479	DS_NC	1.83E-05	0.016263	2.601001	5371	IL13
cg04255937	GB_SHE	1.89E-05	0.016697	2.574152	27036	SETD1B
cg21350153	GB_NC	1.89E-05	0.016697	2.574316	19298	KCNIP3
cg02657160	GB_SHO	1.94E-05	0.017095	2.551572	1390	CPOX
cg21869609	GB_CGI	1.97E-05	0.017358	2.536349	9431	C19orf35
cg00867018	IG_NC	1.98E-05	0.017378	2.533511	26876	LINC01565
cg16704246	GB_NC	1.98E-05	0.017381	2.531503	35990	PDCD4-AS1
cg15380744	PP_NC	2.00E-05	0.017498	2.523811	45	FGFBP2
cg05921699	PP_NC	2.01E-05	0.017527	2.520489	463	CD79A
cg04388657	GB_SHO	2.02E-05	0.017585	2.515792	861	RPL35
cg21565496	GB_NC	2.06E-05	0.017929	2.496942	6203	LINC00332
cg16237191	GB_NC	2.07E-05	0.017953	2.493973	601	OR6C4
cg09548275	GB_NC	2.09E-05	0.01798	2.487736	3468	NR1H3
cg13512987	PP_NC	2.08E-05	0.01798	2.488713	146	CD4
cg25097946	PP_NC	2.09E-05	0.01798	2.487241	47	SORBS1
cg11663289	PP_CGI	2.13E-05	0.018291	2.469033	696	PPM1L
cg16278329	GB_SHO	2.13E-05	0.018291	2.468602	7849	SYNGAP1
cg05593715	IG_NC	2.15E-05	0.01838	2.462556	126854	PDP1
cg04673446	GB_SHE	2.16E-05	0.018477	2.456149	3276	MGAT3
cg13442016	PP_SHE	2.20E-05	0.018743	2.441811	69	MIR146B
cg23474890	GB_NC	2.20E-05	0.018761	2.439165	7317	BCL7A
cg09717471	GB_NC	2.23E-05	0.018971	2.427637	251578	MIR4789
cg20418308	IG_NC	2.25E-05	0.019078	2.420931	11208	CD5
cg27312979	GB_NC	2.26E-05	0.019143	2.416187	43547	PDLIM1
cg09244244	PP_SHO	2.28E-05	0.019176	2.411121	1081	ARSK
cg15245292	GB_NC	2.27E-05	0.019176	2.411392	756	WDR37
cg11333968	GB_NC	2.32E-05	0.019482	2.395492	28355	PPFIBP2
cg26599989	GB_SHO	2.34E-05	0.019645	2.386388	26884	TOLLIP
cg05238276	IG_NC	2.36E-05	0.019746	2.3784	159970	MKI67
cg12140977	GB_NC	2.36E-05	0.019746	2.379728	70872	ST3GAL1
cg08884752	GB_SHO	2.37E-05	0.019779	2.375191	1866	SKI
cg23322172	GB_NC	2.39E-05	0.019929	2.366823	5491	TMEM180
cg14264316	IG_NC	2.41E-05	0.020039	2.360282	11202	PRRC2B
cg02283485	GB_CGI	2.43E-05	0.020111	2.352183	403	ZMIZ1
cg15498134	GB_NC	2.43E-05	0.020111	2.351944	9914	RUNX3
cg25952037	IG_SHE	2.43E-05	0.020111	2.353309	48902	IL20RB
cg02490920	PP_NC	2.45E-05	0.020203	2.346229	632	SEMA3B
cg20438687	GB_NC	2.46E-05	0.020228	2.343407	25008	MINK1
cg02486904	IG_CGI	2.48E-05	0.020339	2.336903	97361	FOXD2
cg06338710	GB_CGI	2.51E-05	0.020601	2.323956	3167	GFI1
cg17580614	GB_CGI	2.52E-05	0.020623	2.321297	1280	ADORA2B
cg02094252	IG_CGI	2.53E-05	0.020695	2.316522	13148	KAZALD1
cg13787850	IG_NC	2.56E-05	0.020867	2.30758	58411	NAMA
cg21586223	IG_NC	2.61E-05	0.021246	2.290084	53830	CYSLTR2
cg03785076	PP_SHO	2.63E-05	0.021337	2.284646	1338	SNED1
cg08843623	IG_NC	2.69E-05	0.02181	2.263704	17379	GSE1
cg13290267	IG_CGI	2.70E-05	0.021826	2.261375	626	SOX6
cg19325791	IG_NC	2.72E-05	0.021967	2.254049	47587	HOXB1
cg00417151	GB_SHE	2.76E-05	0.022207	2.241133	2104	RRBP1
cg10735015	PP_NC	2.76E-05	0.022207	2.242154	672	PHACTR2
cg03517919	GB_NC	2.77E-05	0.022227	2.238706	60815	PGD
cg15857661	PP_SHE	2.83E-05	0.022667	2.218137	24	MIR146B
cg22573696	PP_CGI	2.83E-05	0.022667	2.21921	648	HCG25
cg07933926	PP_NC	2.85E-05	0.022743	2.213561	640	SCNN1A
cg10322443	IG_NC	2.86E-05	0.022752	2.211552	79314	MIR4708
cg03345116	GB_NC	2.87E-05	0.022805	2.207837	24341	NNMT
cg19406367	PP_SHO	2.93E-05	0.023246	2.189382	103	SGIP1
cg07121856	PP_CGI	2.95E-05	0.023364	2.183299	48	PON1
cg00988350	PP_SHO	2.97E-05	0.023411	2.176899	10	GALE
cg17072087	GB_SHO	2.97E-05	0.023411	2.178144	10199	HIP1R
cg18182216	GB_SHE	2.97E-05	0.023411	2.176591	886	FAM63A
cg24592500	IG_NC	3.00E-05	0.023607	2.167653	74243	ACTRT2
cg19873536	IG_NC	3.05E-05	0.023939	2.153784	30868	ABLIM1
cg09050238	NA	3.08E-05	0.024106	2.146032	2505	ZCCHC12
cg26628751	GB_SHO	3.13E-05	0.024484	2.130762	16779	B3GNTL1
cg07151117	GB_SHO	3.14E-05	0.02451	2.128206	1366	DUSP4
cg09029192	GB_NC	3.15E-05	0.024569	2.124479	14885	TNRC6C
cg04573702	PP_SHO	3.23E-05	0.025079	2.104831	39	MIR208A
cg22664400	PP_CGI	3.24E-05	0.025119	2.101827	106	RBM4B
cg18158306	GB_SHO	3.30E-05	0.02558	2.08426	52003	LRCOL1
cg16415058	GB_CGI	3.31E-05	0.025627	2.081055	683	SORCS1
cg22160883	PP_SHO	3.33E-05	0.025696	2.077092	217	SNHG4
cg08972170	GB_NC	3.38E-05	0.026029	2.064204	11223	MTURN
cg15845821	PP_NC	3.40E-05	0.026132	2.059126	172	NWD1
cg22858500	PP_NC	3.41E-05	0.026162	2.056526	606	CACNB2
cg20469744	GB_NC	3.42E-05	0.026194	2.053851	14233	ENOX1
cg02818189	DS_SHO	3.43E-05	0.026256	2.050207	83532	RUNX3
cg01063509	PP_NC	3.54E-05	0.027027	2.02326	546	PLA2G2C
cg04610187	DP_SHE	3.56E-05	0.027033	2.018876	4635	SOCS3
cg15150970	GB_SHO	3.56E-05	0.027033	2.018313	1653	DNMT3A
cg23829395	IG_NC	3.55E-05	0.027033	2.020695	30307	SLC38A2
cg17526060	PP_SHO	3.57E-05	0.027073	2.015423	902	STK36
cg26905258	GB_SHE	3.59E-05	0.027174	2.0106	2768	MYCBP2
cg12771187	DS_NC	3.63E-05	0.027383	2.002298	11911	CAV2
cg27168573	GB_SHE	3.67E-05	0.027688	1.991038	2643	PXN
cg00139947	GB_CGI	3.76E-05	0.028253	1.971534	4275	TOP1MT
cg22488891	GB_NC	3.76E-05	0.028253	1.970191	6505	LINC00332
cg23565821	GB_SHO	3.79E-05	0.028442	1.962793	1007	CUTA
cg12855331	GB_NC	3.81E-05	0.028523	1.958743	7190	NCALD
cg26629749	IG_NC	3.83E-05	0.028639	1.953645	62757	ST3GAL1
cg07807219	GB_SHE	3.96E-05	0.029545	1.924075	2164	RGS5
cg09808606	GB_NC	3.97E-05	0.029545	1.923245	9688	METTL9
cg09658497	GB_NC	4.00E-05	0.029703	1.91703	7374	GNA12
cg09183450	GB_NC	4.01E-05	0.029726	1.914387	5817	AHNAK
cg19732599	DP_SHE	4.01E-05	0.029726	1.913289	3110	SETD8
cg07708487	PP_NC	4.04E-05	0.029834	1.907252	249	ANKRD11
cg19182289	GB_SHO	4.05E-05	0.029834	1.906217	493	RGL2
cg21714061	PP_SHO	4.05E-05	0.029834	1.905481	21	ATXN7L3
cg01368219	GB_NC	4.07E-05	0.029862	1.901612	37718	LRTM1
cg06351796	GB_NC	4.07E-05	0.029862	1.902012	106822	GMPR
cg00303293	GB_NC	4.09E-05	0.029966	1.897047	98225	MIR1260B
cg20563269	IG_SHO	4.14E-05	0.030262	1.886912	28404	HS6ST1
cg19717773	GB_NC	4.21E-05	0.030756	1.871208	7337	GNA12
cg16558846	IG_NC	4.23E-05	0.030875	1.866322	1406	KIAA0125
cg26356061	PP_SHO	4.27E-05	0.031106	1.858271	219	ZNF418
cg17372738	GB_CGI	4.29E-05	0.031129	1.854615	688	FCHO2
cg17979719	GB_SHE	4.29E-05	0.031129	1.85467	2540	SYNE1
cg01246622	IG_NC	4.31E-05	0.03114	1.851283	168761	HABP2
cg06997114	GB_CGI	4.30E-05	0.03114	1.852262	739	OSBPL1A
cg08742502	PP_NC	4.34E-05	0.031285	1.845721	16	PRDM1
cg17636309	GB_SHE	4.35E-05	0.031325	1.843123	7	EEF1D
cg08567142	GB_NC	4.36E-05	0.03134	1.841191	9320	HK1
cg10190813	GB_SHO	4.44E-05	0.031751	1.825326	690	HUS1
cg12297231	GB_NC	4.42E-05	0.031751	1.827962	7333	PUM1
cg23992194	GB_SHE	4.43E-05	0.031751	1.826763	2289	CTBP2
cg15393221	PP_NC	4.49E-05	0.031987	1.814402	213	PRX
cg25913647	PP_SHO	4.48E-05	0.031987	1.817215	547	CRHBP
cg25791017	NA	4.49E-05	0.031987	1.815569	177	DGAT2L6
cg00122406	GB_SHE	4.51E-05	0.032032	1.811676	3602	DPYSL2
cg12364755	GB_SHO	4.55E-05	0.032278	1.803504	1718	PAFAH1B1
cg16776035	DP_NC	4.56E-05	0.032326	1.800738	6558	PRCD
cg06934523	PP_SHO	4.59E-05	0.032381	1.796317	378	SUSD6
cg10215401	IG_NC	4.58E-05	0.032381	1.796963	29434	FAM49B
cg14192259	IG_SHO	4.64E-05	0.032672	1.787011	52274	FBRSL1
cg01481251	DP_SHO	4.64E-05	0.032678	1.785394	2071	QSER1
cg08726522	GB_NC	4.66E-05	0.032704	1.783228	411	ST5
cg10494848	IG_NC	4.70E-05	0.032908	1.775765	40515	RAB23
cg10609310	IG_NC	4.70E-05	0.032908	1.774795	35816	PLEKHA2
cg21380183	GB_NC	4.71E-05	0.032908	1.773438	1408	ATP9A
cg05824218	GB_SHO	4.78E-05	0.033305	1.760032	824	RARA
cg11544116	IG_NC	4.78E-05	0.033305	1.760134	129972	LINC00954
cg11049323	PP_CGI	4.81E-05	0.033424	1.755472	20	ANAPC15
cg01765174	GB_SHO	4.82E-05	0.033426	1.752539	526	TRIM14
cg02959759	PP_SHO	4.81E-05	0.033426	1.753929	1260	CACNA1C-AS1
cg07644321	GB_SHO	4.89E-05	0.033702	1.741048	1334	ADD1
cg15474579	PP_SHO	4.87E-05	0.033702	1.74352	223	CDKN1A
cg24660675	GB_SHO	4.88E-05	0.033702	1.7424	2677	FUOM
cg08881019	PP_NC	4.91E-05	0.033827	1.736359	166	LMNA
cg00783916	PP_SHO	4.96E-05	0.033958	1.728573	248	TNPO2
cg06543101	PP_NC	4.94E-05	0.033958	1.731415	11	KCNK16
cg10788371	PP_SHO	4.96E-05	0.033958	1.727291	2	LRRC32
cg23998240	GB_SHO	4.96E-05	0.033958	1.728616	6848	INF2
cg03604424	GB_NC	4.99E-05	0.034058	1.723299	12315	TRIO
cg14264496	GB_SHO	5.02E-05	0.034246	1.717062	6949	LINC01134
cg05969150	GB_NC	5.04E-05	0.034317	1.713843	199777	ZFHX3
cg16240480	PP_SHO	5.08E-05	0.034563	1.706164	205	EDARADD
cg19202384	PP_SHO	5.11E-05	0.034645	1.701277	455	PYCR1
cg25664715	GB_NC	5.11E-05	0.034645	1.702449	1063	LST1
cg21837207	IG_SHO	5.19E-05	0.035092	1.688659	41503	HAO2
cg12274567	PP_NC	5.20E-05	0.03514	1.686059	270	SH2D1B
cg00326958	PP_CGI	5.21E-05	0.035155	1.684305	202	HNRNPF
cg15916554	IG_SHO	5.25E-05	0.035259	1.678591	14228	LOC283710
cg22403782	GB_CGI	5.24E-05	0.035259	1.679149	2787	ALPP
cg23067299	GB_SHO	5.25E-05	0.035259	1.677528	1204	AHRR
cg02340818	GB_SHO	5.30E-05	0.035478	1.669316	30450	ARHGAP39
cg23058194	PP_CGI	5.30E-05	0.035478	1.669548	25	KBTBD13
cg07996594	PP_CGI	5.35E-05	0.035704	1.662385	734	RUNX3
cg18446336	GB_NC	5.38E-05	0.035879	1.656717	7316	GNA12
cg15591678	PP_CGI	5.44E-05	0.036226	1.646935	238	ZNF365
cg02980249	GB_SHE	5.48E-05	0.036428	1.640692	2948	VARS
cg05103132	PP_CGI	5.50E-05	0.036474	1.637315	131	SMYD5
cg16880424	GB_CGI	5.51E-05	0.036474	1.635456	3628	TNK1
cg18991417	DP_SHE	5.51E-05	0.036474	1.636191	3136	TDRD9
cg00173538	GB_SHO	5.53E-05	0.036533	1.632663	39494	C6orf132
cg09047361	GB_NC	5.63E-05	0.037158	1.61646	23428	PRICKLE1
cg15344028	PP_NC	5.65E-05	0.037185	1.613608	38	ICOS
cg16104139	IG_SHO	5.66E-05	0.037185	1.613105	41390	TIFAB
cg18582010	GB_NC	5.68E-05	0.037257	1.609951	40528	ASAP1
cg22472290	PP_SHO	5.68E-05	0.037257	1.608678	250	ZNF577
cg22151881	GB_SHO	5.71E-05	0.037339	1.605195	2512	LRP5
cg27405731	GB_NC	5.71E-05	0.037339	1.604056	110320	CUX1
cg19876657	IG_NC	5.81E-05	0.037884	1.590026	123681	C3orf58
cg07411111	GB_CGI	5.83E-05	0.037922	1.587164	12727	TPD52L2
cg16572910	GB_NC	5.83E-05	0.037922	1.586443	25100	SZT2
cg00867472	GB_SHE	5.91E-05	0.038353	1.575217	3884	MRPL24
cg11138362	GB_CGI	5.92E-05	0.038414	1.57248	131153	ARHGEF16
cg04606087	IG_SHE	5.97E-05	0.038635	1.566139	32406	APLP2
cg04944536	IG_NC	6.03E-05	0.038819	1.556623	41898	MED13L
cg09991306	GB_CGI	6.03E-05	0.038819	1.557204	27653	SNED1
cg14095048	DP_NC	6.01E-05	0.038819	1.56003	7561	TMEM211
cg16886828	GB_CGI	6.03E-05	0.038819	1.557758	16394	KDM4B
cg03467405	PP_NC	6.10E-05	0.039171	1.547404	117	PARVG
cg20772590	PP_SHO	6.12E-05	0.039239	1.544547	180	SEPT9
cg10238080	DP_NC	6.15E-05	0.039309	1.540344	6360	ASIC1
cg14012925	GB_SHE	6.14E-05	0.039309	1.541043	96024	CUX1
cg04259904	PP_CGI	6.20E-05	0.039595	1.532674	499	ARTN
cg00548098	IG_NC	6.22E-05	0.039631	1.530383	47837	RMI2
cg03384915	GB_CGI	6.23E-05	0.039631	1.527913	1149	SIN3B
cg25323554	GB_SHE	6.23E-05	0.039631	1.529111	4194	FAM222B
cg12567545	DP_CGI	6.30E-05	0.040009	1.518314	2646	CAPN15
cg16845623	PP_SHO	6.32E-05	0.040025	1.516648	1106	SPTSSB
cg10807309	GB_SHE	6.41E-05	0.040548	1.503985	2648	VARS
cg23842572	GB_NC	6.43E-05	0.040601	1.501534	9278	MPRIP
cg05889881	GB_CGI	6.44E-05	0.040609	1.499118	4461	TCF3
cg10426893	PP_CGI	6.45E-05	0.040609	1.498752	411	SMPD3
cg04467589	PP_SHO	6.60E-05	0.041455	1.478133	476	RNF39
cg24201362	IG_NC	6.60E-05	0.041455	1.478628	70624	IRF4
cg20580833	GB_NC	6.70E-05	0.042	1.465428	18954	GOLGA7B
cg11334163	PP_NC	6.80E-05	0.042543	1.451988	530	ARHGAP35
cg17589341	PP_NC	6.83E-05	0.042543	1.44853	11	SLC14A1
cg18745507	GB_NC	6.83E-05	0.042543	1.448862	4674	ZGLP1
cg24253618	DS_CGI	6.83E-05	0.042543	1.44772	10713	TINAGL1
cg27588653	GB_NC	6.83E-05	0.042543	1.448209	25787	NMNAT2
cg11674448	DP_SHE	6.88E-05	0.042769	1.441819	3950	SCMH1
cg11824827	GB_CGI	6.90E-05	0.042821	1.439461	860	ZNF668
cg00933182	PP_SHO	6.93E-05	0.042909	1.435111	945	FMNL1
cg23667432	GB_CGI	6.93E-05	0.042909	1.435847	1090	ALPP
cg02968508	GB_SHO	6.97E-05	0.043043	1.431103	2058	IL17RC
cg21751873	IG_NC	7.01E-05	0.043244	1.425754	41120	EOMES
cg10416593	PP_CGI	7.03E-05	0.04332	1.422946	1217	SCO2
cg26253500	GB_NC	7.06E-05	0.04345	1.419039	53825	MIR490
cg09795027	GB_SHO	7.09E-05	0.04356	1.415573	9452	CDK3
cg18482892	GB_SHE	7.15E-05	0.043608	1.408143	2567	ARHGEF3
cg19825437	DP_SHE	7.14E-05	0.043608	1.409162	1728	MECOM
cg20298015	DP_SHE	7.13E-05	0.043608	1.410931	2931	FBXL2
cg21737444	PP_SHO	7.14E-05	0.043608	1.409129	20	LGALS1
cg23371436	GB_NC	7.13E-05	0.043608	1.410557	14221	NAV2
cg26347170	GB_NC	7.16E-05	0.043608	1.407011	42313	CHMP4B
cg18151030	GB_SHO	7.20E-05	0.043773	1.402445	35711	RIPK4
cg01832549	GB_NC	7.25E-05	0.043775	1.395935	36210	CAPZB
cg03542778	GB_SHE	7.26E-05	0.043775	1.395489	5865	DUOX2
cg08355301	PP_NC	7.27E-05	0.043775	1.393905	51	CD79B
cg13641317	IG_NC	7.25E-05	0.043775	1.395622	43726	TPRA1
cg19520763	DP_SHE	7.27E-05	0.043775	1.393635	3051	EXOG
cg24085885	GB_NC	7.22E-05	0.043775	1.400045	21582	CRTC1
cg26511321	PP_SHO	7.27E-05	0.043775	1.394099	493	HOXA7
cg25013095	IG_NC	7.31E-05	0.043943	1.389047	16017	GPR55
cg00179196	GB_NC	7.33E-05	0.043996	1.386737	4693	RHBDF1
cg25059436	PP_SHO	7.38E-05	0.044268	1.380116	197	CELF1
cg12441066	GB_NC	7.41E-05	0.044377	1.376726	117058	MSI2
cg03999941	IG_SHO	7.44E-05	0.04441	1.3736	39942	LOC100506688
cg04732968	IG_SHE	7.43E-05	0.04441	1.374825	11841	WNT7A
cg11314684	PP_NC	7.46E-05	0.044457	1.371445	294	AKT3
cg05156137	PP_NC	7.57E-05	0.045051	1.35863	284	RCAN1
cg04469167	PP_SHO	7.59E-05	0.045071	1.355774	56	MOB3B
cg18369325	GB_NC	7.58E-05	0.045071	1.356928	449717	RAD51B
cg16755922	GB_SHE	7.73E-05	0.045754	1.340467	15082	FOXK2
cg16937168	PP_SHO	7.73E-05	0.045754	1.340192	1409	SNED1
cg19709355	GB_SHE	7.82E-05	0.046238	1.329789	5830	RARA
cg10816760	GB_NC	7.87E-05	0.046449	1.324154	68051	LOC153910
cg25809905	PP_NC	7.88E-05	0.046449	1.323375	854	ITGA2B
cg10684714	PP_SHO	7.90E-05	0.046495	1.321291	121	FAM200A
cg09465703	GB_CGI	7.92E-05	0.046551	1.31902	595	JMJD8
cg23204799	GB_CGI	8.02E-05	0.047084	1.307863	3809	ONECUT3
cg26657357	IG_SHE	8.09E-05	0.04738	1.29997	28951	KRTAP5-11
cg04224247	NA	8.09E-05	0.04738	1.300902	719	WWC3
