Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
CPT1A	CPT1, CPT1-L, L-CPT1	ENSG00000110090	Carnitine palmitoyltransferase 1A	11	68754620-68844410	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA008835	Enhanced		Supported	Mitochondria	Renal cancer:2.67e-7 (favourable), Breast cancer:3.84e-4 (unfavourable)	Expressed in all	Expressed in all			small intestine: 78.9	Mixed		
CPT2	CPT1, CPTASE	ENSG00000157184	Carnitine palmitoyltransferase 2	1	53196429-53214197	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA028201, HPA028202, HPA028214	Enhanced		Supported	Nucleoplasm<br>Nucleoli<br>Mitochondria	Renal cancer:1.46e-12 (favourable), Colorectal cancer:5.27e-4 (favourable)	Expressed in all	Expressed in all			liver: 25.9	Expressed in all		
CRBN	MRT2, MRT2A	ENSG00000113851	Cereblon	3	3144628-3179727	Disease related genes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA045910	Approved		Approved	Nucleoli		Expressed in all	Expressed in all			testis: 87.7	Expressed in all		
CRHR1	CRF-R, CRF1, CRHR	ENSG00000120088	Corticotropin releasing hormone receptor 1	17	45784280-45835828	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB025251	Approved					Mixed	Tissue enhanced		cerebral cortex: 4.0	endometrium: 0.8	Cell line enhanced		RT4: 2.7;SH-SY5Y: 2.2
CSF1R	C-FMS, CD115, CSFR, FMS	ENSG00000182578	Colony stimulating factor 1 receptor	5	150053291-150113372	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB008970, HPA012323	Uncertain		Supported	Vesicles<br>Plasma membrane	Renal cancer:1.08e-4 (unfavourable), Testis cancer:4.92e-4 (unfavourable)	Expressed in all	Mixed			spleen: 147.7	Group enriched	6	BEWO: 118.6;SK-BR-3: 35.4
CSF2RA	CD116, CSF2R	ENSG00000198223	Colony stimulating factor 2 receptor alpha subunit	X	1268800-1310381	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB016148	Uncertain				Cervical cancer:2.38e-5 (favourable), Head and neck cancer:2.81e-4 (favourable), Testis cancer:5.53e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 93.3	appendix: 34.6	Group enriched	8	BEWO: 187.1;HMC-1: 51.2;SK-MEL-30: 109.5
CSF2RB	CD131, IL3RB, IL5RB	ENSG00000100368	Colony stimulating factor 2 receptor beta common subunit	22	36913628-36940449	CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA078677			Approved	Golgi apparatus	Head and neck cancer:7.47e-5 (favourable)	Expressed in all	Tissue enhanced		appendix: 89.7	tonsil: 57.2	Group enriched	7	HEL: 95.8;HMC-1: 281.8
CSF3R	CD114, GCSFR	ENSG00000119535	Colony stimulating factor 3 receptor	1	36466043-36483278	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB017116, HPA048086	Enhanced				Testis cancer:3.79e-4 (unfavourable), Renal cancer:5.72e-4 (unfavourable)	Mixed	Tissue enhanced		appendix: 211.2;bone marrow: 243.4;placenta: 147.9	spleen: 96.5	Cell line enhanced		BEWO: 68.2;NB-4: 12.7;THP-1: 32.4;U-937: 36.3
CTLA4	CD, CD152, CELIAC3, GSE, IDDM12	ENSG00000163599	Cytotoxic T-lymphocyte associated protein 4	2	203867786-203873960	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Head and neck cancer:4.48e-5 (favourable)	Mixed	Tissue enhanced		appendix: 23.5;lymph node: 31.9	tonsil: 15.3	Group enriched	5	SK-MEL-30: 2.4;U-266/70: 3.5;U-266/84: 9.7
CXCR4	CD184, D2S201E, fusin, HM89, HSY3RR, LESTR, NPY3R, NPYR, NPYY3R	ENSG00000121966	C-X-C motif chemokine receptor 4	2	136114349-136118165	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level						Renal cancer:1.41e-7 (unfavourable), Ovarian cancer:2.05e-4 (favourable), Stomach cancer:5.67e-4 (unfavourable)	Expressed in all	Tissue enhanced		bone marrow: 771.6	tonsil: 495.9	Cell line enhanced		Daudi: 410.1;MOLT-4: 425.1;REH: 252.8;U-266/70: 489.0;U-698: 459.8
CYP11A1	CYP11A, P450SCC	ENSG00000140459	Cytochrome P450 family 11 subfamily A member 1	15	74337759-74367740	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA016436	Enhanced					Mixed	Tissue enriched	11	adrenal gland: 748.5	testis: 68.5	Group enriched	25	BEWO: 102.7;HEL: 79.0;SiHa: 23.2
CYP11B1	CPN1, CYP11B, FHI, P450C11	ENSG00000160882	Cytochrome P450 family 11 subfamily B member 1	8	142872356-142879846	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA049171, HPA056348, HPA057752	Supported					Not detected	Tissue enriched	916	adrenal gland: 1871.2	testis: 2.0	Not detected		
CYP17A1	CPT7, CYP17, P450C17, S17AH	ENSG00000148795	Cytochrome P450 family 17 subfamily A member 1	10	102830531-102837533	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA048533	Enhanced				Renal cancer:5.43e-7 (favourable)	Tissue enriched	Tissue enriched	25	adrenal gland: 3751.4	testis: 152.4	Cell line enhanced		HMC-1: 2.6;SCLC-21H: 1.3
CYP19A1	ARO, ARO1, aromatase, CPV1, CYAR, CYP19, P-450AROM	ENSG00000137869	Cytochrome P450 family 19 subfamily A member 1	15	51208057-51338610	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB000355, HPA051194	Enhanced		Approved	Mitochondria		Mixed	Tissue enriched	15	placenta: 174.5	adrenal gland: 11.9	Group enriched	6	ASC TERT1: 65.0;HDLM-2: 16.2;HSkMC: 22.8
CYP51A1	CP51, CYP51, CYPL1, LDM, P450-14DM, P450L1	ENSG00000001630	Cytochrome P450 family 51 subfamily A member 1	7	92112151-92142952	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA041325, HPA043508	Enhanced		Enhanced	Endoplasmic reticulum	Cervical cancer:6.12e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 174.1	Expressed in all		
CYSLTR1	CysLT(1), CysLT1, CYSLT1R	ENSG00000173198	Cysteinyl leukotriene receptor 1	X	78271464-78327691	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA010546	Approved					Mixed	Mixed			spleen: 14.8	Cell line enhanced		HL-60: 16.0;NB-4: 17.8;RPMI-8226: 29.5;THP-1: 17.5;U-937: 22.4
CYSLTR2	CysLT(2), CYSLT2R	ENSG00000152207	Cysteinyl leukotriene receptor 2	13	48653711-48711226	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA046528	Uncertain					Group enriched	Tissue enhanced		placenta: 36.7;seminal vesicle: 25.0	spleen: 11.4	Cell line enriched	64	HDLM-2: 83.3
DBH	DBM	ENSG00000123454	Dopamine beta-hydroxylase	9	133636360-133659344	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA002130, HPA005960, HPA070789	Enhanced		Enhanced	Endoplasmic reticulum<br>Vesicles		Mixed	Tissue enriched	28	adrenal gland: 356.8	liver: 12.6	Cell line enriched	370	SH-SY5Y: 1924.2
DCK		ENSG00000156136	Deoxycytidine kinase	4	70992538-71030914	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA059609, HPA062773	Approved		Supported	Nucleus	Liver cancer:6.90e-7 (unfavourable)	Expressed in all	Expressed in all			lymph node: 93.9	Expressed in all		
DDC	AADC	ENSG00000132437	Dopa decarboxylase	7	50458436-50565457	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA017742	Enhanced		Approved	Actin filaments		Mixed	Tissue enhanced		duodenum: 155.2;kidney: 320.9;small intestine: 180.5	adrenal gland: 63.8	Group enriched	9	CACO-2: 44.3;Hep G2: 32.3;SCLC-21H: 154.0;SH-SY5Y: 144.1
DDR2	NTRKR3, TKT, TYRO10	ENSG00000162733	Discoidin domain receptor tyrosine kinase 2	1	162631373-162787400	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA070112			Supported	Plasma membrane<br>Actin filaments	Renal cancer:1.73e-7 (unfavourable)	Expressed in all	Mixed			adrenal gland: 93.5	Cell line enhanced		ASC diff: 203.0;ASC TERT1: 203.2;BJ hTERT+: 181.9
DHFR		ENSG00000228716	Dihydrofolate reductase	5	80626228-80654983	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB037129, HPA051465	Uncertain		Supported	Mitochondria		Expressed in all	Mixed			lymph node: 49.6	Expressed in all		
DHODH		ENSG00000102967	Dihydroorotate dehydrogenase (quinone)	16	72008588-72027664	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010123, HPA011942	Approved		Supported	Nucleoplasm<br>Mitochondria		Expressed in all	Mixed			liver: 21.4	Expressed in all		
DNMT1	CXXC9, DNMT, MCMT	ENSG00000130816	DNA methyltransferase 1	19	10133345-10231286	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA002694, CAB005876	Enhanced		Enhanced	Nucleoplasm	Liver cancer:1.46e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 51.2	Expressed in all		
DPEP1		ENSG00000015413	Dipeptidase 1 (renal)	16	89613308-89638456	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	HPA009426, HPA012783	Enhanced		Approved	Nucleus<br>Cell Junctions	Renal cancer:6.84e-4 (favourable)	Tissue enriched	Tissue enhanced		kidney: 262.6;small intestine: 418.9	pancreas: 92.8	Cell line enhanced		Hep G2: 22.4;HHSteC: 11.8;U-937: 36.5
DPP4	ADCP2, CD26, DPPIV	ENSG00000197635	Dipeptidyl peptidase 4	2	161992241-162074542	CD markers, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB045970	Enhanced				Renal cancer:1.35e-6 (favourable), Prostate cancer:1.98e-4 (unfavourable), Thyroid cancer:4.99e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 550.6	placenta: 169.1	Cell line enhanced		ASC diff: 115.0;ASC TERT1: 118.1;BJ hTERT+: 131.1;RPTEC TERT1: 175.8
DRD1		ENSG00000184845	Dopamine receptor D1	5	175440039-175444208	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA013393		Supported				Mixed	Tissue enhanced		cerebral cortex: 8.0	prostate: 1.7	Group enriched	10	RT4: 20.9;U-2 OS: 5.4
DRD2		ENSG00000149295	Dopamine receptor D2	11	113409615-113475691	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA015139, HPA015691	Supported	Supported				Mixed	Tissue enhanced		adrenal gland: 11.2	smooth muscle: 2.2	Cell line enriched	10	SCLC-21H: 104.3
DRD3		ENSG00000151577	Dopamine receptor D3	3	114128652-114199407	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level							Not detected	Tissue enriched	13	testis: 1.3	all non-specific tissues: 0.0	Not detected		
DRD4		ENSG00000069696	Dopamine receptor D4	11	637293-640706	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level							Mixed	Not detected			skin: 0.3	Not detected		
DRD5	DRD1B, DRD1L2	ENSG00000169676	Dopamine receptor D5	4	9781680-9784009	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA048930	Supported					Not detected	Tissue enhanced		appendix: 1.7;cerebral cortex: 2.0;stomach: 3.8	testis: 0.8	Not detected		
EDNRA		ENSG00000151617	Endothelin receptor type A	4	147480917-147544954	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA013774, CAB018957	Uncertain				Renal cancer:1.50e-7 (unfavourable), Stomach cancer:3.93e-4 (unfavourable)	Expressed in all	Tissue enhanced		seminal vesicle: 146.8	cervix, uterine: 83.0	Cell line enhanced		ASC TERT1: 11.8;LHCN-M2: 17.3;SH-SY5Y: 16.4
EDNRB	ETB, HSCR, HSCR2	ENSG00000136160	Endothelin receptor type B	13	77895481-77919768	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB017842, HPA027546	Approved		Supported	Plasma membrane<br>Cytosol	Renal cancer:7.20e-5 (favourable)	Group enriched	Tissue enhanced		placenta: 180.2	cerebral cortex: 88.8	Cell line enhanced		AF22: 59.4;ASC diff: 35.4;SK-MEL-30: 42.0;U-266/70: 29.1;WM-115: 122.9
EGF		ENSG00000138798	Epidermal growth factor	4	109912884-110012266	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins	Evidence at protein level							Mixed	Tissue enriched	7	kidney: 122.1	pancreas: 18.5	Cell line enhanced		EFO-21: 5.9;SK-BR-3: 8.5;U-251 MG: 3.0
EGFR	ERBB, ERBB1	ENSG00000146648	Epidermal growth factor receptor	7	55019021-55211628	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB000035, HPA001200, HPA018530, CAB068186, CAB073534	Enhanced		Enhanced	Plasma membrane	Urothelial cancer:2.04e-5 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 100.0	skin: 58.7	Cell line enriched	15	A-431: 4682.9
ELANE	ELA2, HLE, HNE, NE	ENSG00000197561	Elastase, neutrophil expressed	19	851014-856247	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB015409, HPA066836	Enhanced					Group enriched	Tissue enriched	320	bone marrow: 1199.6	skin: 3.7	Cell line enriched	56	THP-1: 1171.3
EPHA2	ECK	ENSG00000142627	EPH receptor A2	1	16124337-16156087	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, RAS pathway related proteins	Evidence at protein level	CAB010464			Supported	Nuclear speckles<br>Golgi apparatus<br>Plasma membrane<br>Cell Junctions		Expressed in all	Tissue enhanced		esophagus: 86.8	gallbladder: 44.5	Cell line enhanced		PC-3: 211.2;WM-115: 253.0
EPOR		ENSG00000187266	Erythropoietin receptor	19	11377205-11384342	Cancer-related genes, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA077613			Supported	Vesicles	Pancreatic cancer:3.17e-5 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 53.1	thyroid gland: 18.0	Mixed		
ERBB2	CD340, HER-2, HER2, NEU, NGL	ENSG00000141736	Erb-b2 receptor tyrosine kinase 2	17	39687914-39730426	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB000043, HPA001060, HPA001338, HPA001383, CAB020416, CAB062555	Enhanced		Supported	Plasma membrane<br>Cytosol	Renal cancer:2.41e-14 (favourable), Endometrial cancer:8.99e-8 (unfavourable), Pancreatic cancer:9.17e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 124.5	Cell line enriched	22	SK-BR-3: 2343.7
ERBB4	ALS19, HER4	ENSG00000178568	Erb-b2 receptor tyrosine kinase 4	2	211375717-212538841	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB000276, HPA012016, CAB025522	Enhanced					Tissue enhanced	Tissue enhanced		fallopian tube: 17.8	cerebral cortex: 7.6	Group enriched	5	AF22: 6.8;EFO-21: 4.8;HEK 293: 3.5;RPTEC TERT1: 4.2;SCLC-21H: 3.7;T-47d: 4.8
ESR1	Era, ESR, NR3A1	ENSG00000091831	Estrogen receptor 1	6	151656691-152129619	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000037, HPA000449, HPA000450, CAB055099, CAB072858	Enhanced		Approved	Nucleus<br>Vesicles	Endometrial cancer:5.47e-7 (favourable)	Group enriched	Group enriched	8	breast: 37.6;cervix, uterine: 127.8;endometrium: 180.8;fallopian tube: 106.4;smooth muscle: 76.5	seminal vesicle: 13.5	Group enriched	11	MCF7: 34.7;T-47d: 53.2
ESR2	Erb, NR3A2	ENSG00000140009	Estrogen receptor 2	14	64084232-64338112	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB065126	Enhanced					Not detected	Tissue enhanced		testis: 10.4	adrenal gland: 6.3	Cell line enhanced		U-266/70: 7.3;U-698: 11.3
ESRRG	NR3B3	ENSG00000196482	Estrogen related receptor gamma	1	216503246-217137755	FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA044678	Uncertain		Approved	Nucleus	Renal cancer:1.13e-11 (favourable)	Mixed	Tissue enhanced		parathyroid gland: 77.5	kidney: 31.3	Group enriched	7	RPMI-8226: 16.0;SCLC-21H: 9.4;SH-SY5Y: 44.7
F10		ENSG00000126218	Coagulation factor X	13	113122814-113149529	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level						Pancreatic cancer:1.82e-5 (favourable), Renal cancer:5.14e-5 (unfavourable)	Tissue enriched	Tissue enhanced		liver: 67.5	cervix, uterine: 51.6	Cell line enhanced		BJ: 12.5;Hep G2: 40.8;SH-SY5Y: 30.0
F11	FXI	ENSG00000088926	Coagulation factor XI	4	186265945-186288806	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA039808			Approved	Vesicles	Liver cancer:3.29e-5 (favourable)	Tissue enriched	Tissue enhanced		liver: 180.1	kidney: 44.7	Cell line enriched	8	Hep G2: 6.0
F12		ENSG00000131187	Coagulation factor XII	5	177402140-177409576	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA003825	Approved				Liver cancer:4.63e-5 (favourable), Renal cancer:7.09e-4 (unfavourable)	Tissue enriched	Tissue enriched	78	liver: 141.6	bone marrow: 1.8	Cell line enhanced		HDLM-2: 6.4;MCF7: 6.7;PC-3: 5.8;SH-SY5Y: 4.5
F2		ENSG00000180210	Coagulation factor II, thrombin	11	46719180-46739506	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB016780, CAB018650, HPA051476, HPA054698	Enhanced				Renal cancer:6.75e-12 (unfavourable)	Tissue enriched	Tissue enriched	1472	liver: 627.3	testis: 0.4	Cell line enriched	18	Hep G2: 186.7
F2R	CF2R, PAR-1, PAR1, TR	ENSG00000181104	Coagulation factor II thrombin receptor	5	76716043-76735781	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB008973, CAB012962	Approved				Renal cancer:2.21e-7 (unfavourable)	Expressed in all	Expressed in all			spleen: 94.1	Cell line enhanced		HUVEC TERT2: 297.4;WM-115: 331.7
F3	CD142, TF	ENSG00000117525	Coagulation factor III, tissue factor	1	94529225-94541800	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB009438, HPA049292, HPA069132	Approved		Enhanced	Vesicles	Renal cancer:2.02e-8 (unfavourable), Pancreatic cancer:1.07e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 191.1	Cell line enhanced		A-431: 929.2;HaCaT: 433.2;HBEC3-KT: 914.1;U-2197: 442.4
F5		ENSG00000198734	Coagulation factor V	1	169514166-169586588	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA002036	Uncertain		Approved	Golgi apparatus	Stomach cancer:3.39e-4 (unfavourable)	Tissue enriched	Group enriched	11	gallbladder: 28.4;liver: 93.7;placenta: 68.2	fallopian tube: 5.9	Cell line enriched	7	Hep G2: 22.8
F7		ENSG00000057593	Coagulation factor VII	13	113105788-113120681	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA004826			Approved	Mitochondria		Tissue enriched	Tissue enriched	44	liver: 65.0	testis: 1.4	Group enriched	7	CACO-2: 11.8;Hep G2: 6.1
F8	DXS1253E, F8C, FVIII, HEMA	ENSG00000185010	Coagulation factor VIII	X	154835788-155026940	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB018777	Enhanced					Expressed in all	Expressed in all			lung: 23.4	Mixed		
F9	FIX	ENSG00000101981	Coagulation factor IX	X	139530758-139563458	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level						Liver cancer:6.69e-4 (favourable)	Tissue enriched	Tissue enriched	2258	liver: 365.0	kidney: 0.1	Not detected		
FADS1	D5D, FADS6, FADSD5, LLCDL1, TU12	ENSG00000149485	Fatty acid desaturase 1	11	61799625-61829318	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA042705	Approved				Renal cancer:1.95e-9 (unfavourable), Urothelial cancer:1.33e-4 (unfavourable), Thyroid cancer:2.79e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 89.1	Expressed in all		
FADS2	D6D, DES6, FADSD6, LLCDL2, SLL0262, TU13	ENSG00000134824	Fatty acid desaturase 2	11	61792980-61867354	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA006741	Approved				Renal cancer:1.00e-7 (unfavourable), Urothelial cancer:3.42e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 414.3	Expressed in all		
FASN	FAS, SDR27X1	ENSG00000169710	Fatty acid synthase	17	82078333-82098332	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB005192, HPA006461, CAB015417, HPA056108	Enhanced		Enhanced	Plasma membrane<br>Cytosol	Cervical cancer:1.42e-5 (unfavourable), Renal cancer:7.16e-5 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 290.7	Expressed in all		
FCER1A	FCE1A	ENSG00000179639	Fc fragment of IgE receptor Ia	1	159289714-159308224	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB022102, HPA036051, CAB055526	Approved				Renal cancer:1.20e-4 (favourable)	Expressed in all	Mixed			skin: 39.9	Cell line enriched	100	HEL: 401.2
FCER1G		ENSG00000158869	Fc fragment of IgE receptor Ig	1	161215234-161220699	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB022108, HPA026872	Supported				Renal cancer:1.83e-6 (unfavourable)	Expressed in all	Expressed in all			spleen: 462.9	Group enriched	5	HEL: 69.1;HMC-1: 265.2;THP-1: 185.7;U-266/84: 61.5;U-937: 67.6
FCGR1A	CD64, CD64A	ENSG00000150337	Fc fragment of IgG receptor Ia	1	149782671-149792518	CD markers, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level						Renal cancer:4.83e-8 (unfavourable)	Tissue enhanced	Tissue enhanced		epididymis: 91.1	appendix: 48.9	Cell line enriched	5	THP-1: 113.9
FCGR1B	CD64b	ENSG00000198019	Fc fragment of IgG receptor Ib	1	121087345-121096310	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Tissue enhanced	Tissue enhanced		appendix: 27.5;epididymis: 61.7	placenta: 17.0	Cell line enhanced		HMC-1: 6.6;NB-4: 12.8;THP-1: 51.9
FCGR2A	CD32, CD32A, CDw32, FCG2, FCGR2, FCGR2A1, IGFR2	ENSG00000143226	Fc fragment of IgG receptor IIa	1	161505430-161524013	CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010718, HPA014730	Enhanced				Renal cancer:6.49e-7 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 160.6	appendix: 148.6	Cell line enhanced		HEL: 26.6;HMC-1: 50.4;K-562: 16.0;THP-1: 42.6;U-937: 21.3
FCGR2B	CD32, CD32B, FCG2, FCGR2	ENSG00000072694	Fc fragment of IgG receptor IIb	1	161663147-161678654	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB007796, HPA014730	Enhanced				Renal cancer:8.82e-4 (unfavourable)	Mixed	Tissue enriched	16	placenta: 576.7	adipose tissue: 36.6	Cell line enhanced		Daudi: 18.5;HMC-1: 27.5;RPMI-8226: 8.1
FCGR3A	CD16, CD16a, FCG3, FCGR3	ENSG00000203747	Fc fragment of IgG receptor IIIa	1	161541759-161550737	CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB032435, HPA055431	Supported				Renal cancer:3.22e-6 (unfavourable)	Expressed in all	Expressed in all			spleen: 419.4	Not detected		
FCGR3B	CD16, CD16b, FCG3, FCGR3	ENSG00000162747	Fc fragment of IgG receptor IIIb	1	161623196-161631963	CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level							Mixed	Tissue enhanced		appendix: 118.1;spleen: 115.2	urinary bladder: 36.3	Not detected		
FDPS		ENSG00000160752	Farnesyl diphosphate synthase	1	155308748-155320666	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA028200	Approved		Approved	Nucleoplasm<br>Cytosol	Liver cancer:7.35e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 186.4	Expressed in all		
